
		Noxim - the NoC Simulator
3	10	6
3	10	6
3	10	6
3	10	6
3	10	6
12	5	12
3	10	6
3	10	6
12	5	13
3	10	6
7	14	7
10	3	11
3	10	6
12	5	9
10	3	11
3	10	6
7	14	6
3	10	6
7	14	6
10	3	7
7	14	6
7	14	6
7	14	6
7	14	6
7	14	6
7	14	6
7	14	6
7	14	6
7	14	6
7	14	6
7	14	6
7	14	6
7	14	6
7	14	6
7	14	6
7	14	6
7	14	10
1	8	1
1	8	0
1	8	4
5	12	5
5	12	4
5	12	4
5	12	4
5	12	4
5	12	4
5	12	4
5	12	4
5	12	4
5	12	8
3	10	3
3	10	2
3	10	6
12	5	12
10	3	10
12	5	13
10	3	11
12	5	9
10	3	7
7	14	7
7	14	6
7	14	10
10	3	10
10	3	11
10	3	7
7	14	7
7	14	6
7	14	10
7	14	7
7	14	6
7	14	10
3	10	3
3	10	2
3	10	6
7	14	7
3	10	6
3	10	6
7	14	6
5	12	5
7	14	6
7	14	6
5	12	4
7	14	6
7	14	6
7	14	6
8	1	8
5	12	8
10	3	10
7	14	6
7	14	6
8	1	9
10	3	11
7	14	6
8	1	5
7	14	6
10	3	7
3	10	3
7	14	6
7	14	6
3	10	2
7	14	6
7	14	6
7	14	6
3	10	6
7	14	6
7	14	6
3	10	6
3	10	6
3	10	6
7	14	10
3	10	6
3	10	6
3	10	6
3	10	6
3	10	6
3	10	6
3	10	6
3	10	6
3	10	6
3	10	6
3	10	6
3	10	6
3	10	6
3	10	6
5	12	5
5	12	4
8	1	8
5	12	8
8	1	9
8	1	5
12	5	12
12	5	13
12	5	9
12	5	9
12	5	9
12	5	9
12	5	9
12	5	9
12	5	9
12	5	9
12	5	9
12	5	9
14	7	14
14	7	15
14	7	11
3	10	3
3	10	2
3	10	6
1	8	1
1	8	0
1	8	4
1	8	1
1	8	0
1	8	4
7	14	7
3	10	3
7	14	6
3	10	2
7	14	10
3	10	6
3	10	6
3	10	6
5	12	5
3	10	6
3	10	6
5	12	4
3	10	6
5	12	4
3	10	6
5	12	4
3	10	6
5	12	4
3	10	6
3	10	6
3	10	6
5	12	8
3	10	6
3	10	6
3	10	6
7	14	7
7	14	6
7	14	6
7	14	6
7	14	6
7	14	6
7	14	6
7	14	6
7	14	6
14	7	14
7	14	6
7	14	6
14	7	15
7	14	6
7	14	6
10	3	10
14	7	11
7	14	10
10	3	11
10	3	11
10	3	11
10	3	11
10	3	11
10	3	11
10	3	11
10	3	11
10	3	11
10	3	11
10	3	11
10	3	11
10	3	11
10	3	11
10	3	11
10	3	7
10	3	10
10	3	11
10	3	7
3	10	3
3	10	2
3	10	6
10	3	10
10	3	11
10	3	7
1	8	1
1	8	0
5	12	5
1	8	4
5	12	4
5	12	4
5	12	4
5	12	4
5	12	4
5	12	4
5	12	4
5	12	4
5	12	4
5	12	4
5	12	4
5	12	4
5	12	4
5	12	4
5	12	4
5	12	4
5	12	4
5	12	8
14	7	14
14	7	15
14	7	11
7	14	7
7	14	6
7	14	10
8	1	8
8	1	9
8	1	5
3	10	3
3	10	2
3	10	6
1	8	1
1	8	0
10	3	10
1	8	4
10	3	11
10	3	7
5	12	5
5	12	4
5	12	8
8	1	8
8	1	9
8	1	5
14	7	14
14	7	15
14	7	11
12	5	12
12	5	13
12	5	9
3	10	3
3	10	2
3	10	6
12	5	12
12	5	13
12	5	9
3	10	3
3	10	2
3	10	6
12	5	12
12	5	13
10	3	10
12	5	9
10	3	11
10	3	7
10	3	10
10	3	11
10	3	7
5	12	5
5	12	4
5	12	8
12	5	12
10	3	10
12	5	13
10	3	11
12	5	9
10	3	7
1	8	1
1	8	0
1	8	4
10	3	10
10	3	11
10	3	7
5	12	5
5	12	4
5	12	8
12	5	12
12	5	13
12	5	9
7	14	7
7	14	6
7	14	10
5	12	5
5	12	4
5	12	8
8	1	8
8	1	9
8	1	5
8	1	8
8	1	9
8	1	5
12	5	12
12	5	13
12	5	9
12	5	9
3	10	3
10	3	10
3	10	2
10	3	11
3	10	6
10	3	7
8	1	8
8	1	9
8	1	5
14	7	14
14	7	15
14	7	11
1	8	1
1	8	0
1	8	4
14	7	14
14	7	15
14	7	11
5	12	5
5	12	4
5	12	4
5	12	8
1	8	1
1	8	0
1	8	4
14	7	14
14	7	15
14	7	11
1	8	1
1	8	0
1	8	4
5	12	5
5	12	4
5	12	4
5	12	4
5	12	8
3	10	3
3	10	2
3	10	6
10	3	10
10	3	11
10	3	7
1	8	1
14	7	14
1	8	0
14	7	15
1	8	4
14	7	11
12	5	12
14	7	11
7	14	7
14	7	11
12	5	13
14	7	11
7	14	6
12	5	9
14	7	11
7	14	10
7	14	7
7	14	6
7	14	10
3	10	3
3	10	2
3	10	6
3	10	6
3	10	6
3	10	6
3	10	6
3	10	6
3	10	6
3	10	6
5	12	5
3	10	6
14	7	14
3	10	6
5	12	4
14	7	15
5	12	8
14	7	11
3	10	3
5	12	5
12	5	12
3	10	2
5	12	4
12	5	13
3	10	6
5	12	8
12	5	9
10	3	10
3	10	3
10	3	11
3	10	2
10	3	7
3	10	6
12	5	12
12	5	13
12	5	9
8	1	8
8	1	9
8	1	9
8	1	9
8	1	9
8	1	9
14	7	14
8	1	5
14	7	15
14	7	11
5	12	5
10	3	10
1	8	1
5	12	4
10	3	11
1	8	0
10	3	7
5	12	8
1	8	4
1	8	4
12	5	12
1	8	4
1	8	4
12	5	13
1	8	4
1	8	4
12	5	9
1	8	4
1	8	4
1	8	4
1	8	4
1	8	4
1	8	4
1	8	1
1	8	4
10	3	10
10	3	11
10	3	7
12	5	12
1	8	0
3	10	3
1	8	0
12	5	13
3	10	2
12	5	9
3	10	6
7	14	7
1	8	4
1	8	4
7	14	6
10	3	10
7	14	6
7	14	6
10	3	11
7	14	6
7	14	6
10	3	7
7	14	6
3	10	3
7	14	6
7	14	6
3	10	2
7	14	6
7	14	6
3	10	6
7	14	6
7	14	6
7	14	6
7	14	6
7	14	6
7	14	6
7	14	6
7	14	6
7	14	6
7	14	6
7	14	6
7	14	6
7	14	6
7	14	6
7	14	6
7	14	6
7	14	6
7	14	10
12	5	12
12	5	13
12	5	9
14	7	14
14	7	15
14	7	11
7	14	7
7	14	6
7	14	10
10	3	10
10	3	11
10	3	11
10	3	11
10	3	11
5	12	5
10	3	11
10	3	11
5	12	4
10	3	11
10	3	11
14	7	14
5	12	8
10	3	11
10	3	11
14	7	15
3	10	3
10	3	7
14	7	11
3	10	2
14	7	11
14	7	11
3	10	6
14	7	11
14	7	11
14	7	11
14	7	11
14	7	11
14	7	11
14	7	11
14	7	11
14	7	11
14	7	11
14	7	11
14	7	11
12	5	12
12	5	13
12	5	9
1	8	1
1	8	0
1	8	4
14	7	14
14	7	15
14	7	11
3	10	3
3	10	2
14	7	14
3	10	6
14	7	15
14	7	11
3	10	3
3	10	2
8	1	8
3	10	6
8	1	9
8	1	5
1	8	1
1	8	0
1	8	4
12	5	12
12	5	13
14	7	14
12	5	9
14	7	15
14	7	11
1	8	1
1	8	0
7	14	7
1	8	4
7	14	6
7	14	10
12	5	12
12	5	13
12	5	9
7	14	7
7	14	6
7	14	10
1	8	1
7	14	7
1	8	0
7	14	6
1	8	4
7	14	10
12	5	12
12	5	13
12	5	9
5	12	5
3	10	3
5	12	4
3	10	2
5	12	8
3	10	6
10	3	10
10	3	11
10	3	7
14	7	14
14	7	15
14	7	11
14	7	11
14	7	11
14	7	11
5	12	5
14	7	11
5	12	4
8	1	8
5	12	8
8	1	9
10	3	10
8	1	5
10	3	11
10	3	11
10	3	11
10	3	11
10	3	11
10	3	11
10	3	11
10	3	11
10	3	11
5	12	5
10	3	11
5	12	4
10	3	7
5	12	8
8	1	8
8	1	9
8	1	5
5	12	5
5	12	4
10	3	10
5	12	8
10	3	11
10	3	7
1	8	1
1	8	0
1	8	4
1	8	4
1	8	4
5	12	5
1	8	4
1	8	4
5	12	4
10	3	10
5	12	4
5	12	4
10	3	11
5	12	4
5	12	4
10	3	7
5	12	4
5	12	4
5	12	4
5	12	4
5	12	4
5	12	4
5	12	4
5	12	4
5	12	4
5	12	4
5	12	4
5	12	4
10	3	10
5	12	8
10	3	11
10	3	7
5	12	5
5	12	5
5	12	4
5	12	4
5	12	8
8	1	8
8	1	9
8	1	5
1	8	1
10	3	10
1	8	0
10	3	11
1	8	4
10	3	7
5	12	5
8	1	8
5	12	4
8	1	9
5	12	8
8	1	5
3	10	3
14	7	14
3	10	2
14	7	15
3	10	6
14	7	11
5	12	5
5	12	4
5	12	8
1	8	1
1	8	0
1	8	4
1	8	4
1	8	4
1	8	4
3	10	3
3	10	2
3	10	6
12	5	12
12	5	13
12	5	9
5	12	5
5	12	4
3	10	3
7	14	7
5	12	8
3	10	2
7	14	6
7	14	6
3	10	6
7	14	6
7	14	6
7	14	6
7	14	6
7	14	6
7	14	6
7	14	6
7	14	6
7	14	6
7	14	6
7	14	6
7	14	6
7	14	6
7	14	6
7	14	6
7	14	6
7	14	6
14	7	14
7	14	10
3	10	3
14	7	15
12	5	12
3	10	2
14	7	11
12	5	13
3	10	6
3	10	6
12	5	9
3	10	6
3	10	6
3	10	6
3	10	6
3	10	6
3	10	6
3	10	6
3	10	6
12	5	12
12	5	13
12	5	9
12	5	12
3	10	3
12	5	13
3	10	2
12	5	9
3	10	6
14	7	14
14	7	15
14	7	11
8	1	8
8	1	9
8	1	5
3	10	3
3	10	2
3	10	6
1	8	1
1	8	0
1	8	4
7	14	7
7	14	6
7	14	10
7	14	7
7	14	6
7	14	10
10	3	10
10	3	11
10	3	7
10	3	10
10	3	11
10	3	7
14	7	14
14	7	15
14	7	11
14	7	11
14	7	11
14	7	11
7	14	7
14	7	11
14	7	11
7	14	6
14	7	11
14	7	11
7	14	10
14	7	11
10	3	10
10	3	11
10	3	7
8	1	8
8	1	9
8	1	5
7	14	7
7	14	6
8	1	8
8	1	9
7	14	10
8	1	5
12	5	12
12	5	13
12	5	9
8	1	8
8	1	9
8	1	5
14	7	14
14	7	15
14	7	11
12	5	12
12	5	13
12	5	9
12	5	9
10	3	10
10	3	11
10	3	11
10	3	11
10	3	11
10	3	11
10	3	11
5	12	5
10	3	11
10	3	11
5	12	4
10	3	11
10	3	7
5	12	8
1	8	1
1	8	0
1	8	4
12	5	12
1	8	4
1	8	4
12	5	13
1	8	4
12	5	9
1	8	1
1	8	0
5	12	5
5	12	4
1	8	4
5	12	4
5	12	4
1	8	4
1	8	4
1	8	4
5	12	8
3	10	3
1	8	4
1	8	4
3	10	2
1	8	4
1	8	4
1	8	4
3	10	6
7	14	7
1	8	4
1	8	4
7	14	6
1	8	4
7	14	6
1	8	4
7	14	6
1	8	4
7	14	6
1	8	4
7	14	6
1	8	4
7	14	6
1	8	4
7	14	6
1	8	4
7	14	6
7	14	6
7	14	6
7	14	6
7	14	6
7	14	6
7	14	6
7	14	6
7	14	10
14	7	14
12	5	12
14	7	15
12	5	13
14	7	11
12	5	9
1	8	1
1	8	0
1	8	4
12	5	12
12	5	13
12	5	9
1	8	1
1	8	0
7	14	7
1	8	4
7	14	6
7	14	10
14	7	14
14	7	15
1	8	1
8	1	8
14	7	11
1	8	0
8	1	9
1	8	4
8	1	5
8	1	8
8	1	9
8	1	5
7	14	7
7	14	6
7	14	10
14	7	14
14	7	15
14	7	11
12	5	12
8	1	8
12	5	13
12	5	9
8	1	9
8	1	9
8	1	9
5	12	5
8	1	9
8	1	9
5	12	4
8	1	9
8	1	9
5	12	8
8	1	9
8	1	9
8	1	9
8	1	9
8	1	9
8	1	9
8	1	9
8	1	9
8	1	9
8	1	9
8	1	5
7	14	7
7	14	6
12	5	12
7	14	10
12	5	13
12	5	9
12	5	9
12	5	9
12	5	9
12	5	9
7	14	7
7	14	6
10	3	10
7	14	10
10	3	11
10	3	7
8	1	8
3	10	3
8	1	9
3	10	2
8	1	5
3	10	6
12	5	12
12	5	13
12	5	9
14	7	14
14	7	15
14	7	11
10	3	10
10	3	11
10	3	11
10	3	11
10	3	11
10	3	11
10	3	11
10	3	11
10	3	11
10	3	11
10	3	7
10	3	10
10	3	10
7	14	7
7	14	6
7	14	10
10	3	11
10	3	11
10	3	7
12	5	12
12	5	13
12	5	9
8	1	8
8	1	9
8	1	9
8	1	9
8	1	9
8	1	9
8	1	9
8	1	9
8	1	5
1	8	1
1	8	0
1	8	4
14	7	14
14	7	15
14	7	11
1	8	1
1	8	0
14	7	14
1	8	4
14	7	15
14	7	11
14	7	14
14	7	15
7	14	7
14	7	11
7	14	6
7	14	10
3	10	3
7	14	7
3	10	2
7	14	6
3	10	6
7	14	10
3	10	6
3	10	6
3	10	6
3	10	6
3	10	6
3	10	6
1	8	1
3	10	6
3	10	6
1	8	0
3	10	6
3	10	6
1	8	4
3	10	6
3	10	6
3	10	6
3	10	6
12	5	12
12	5	13
14	7	14
12	5	9
14	7	15
14	7	11
12	5	12
12	5	13
12	5	9
14	7	14
14	7	15
14	7	11
3	10	3
3	10	2
3	10	6
8	1	8
8	1	9
8	1	5
5	12	5
5	12	4
5	12	8
8	1	8
8	1	9
8	1	5
1	8	1
1	8	0
1	8	4
8	1	8
10	3	10
8	1	9
10	3	11
8	1	5
10	3	7
3	10	3
3	10	2
3	10	6
14	7	14
14	7	15
14	7	11
5	12	5
5	12	4
5	12	8
1	8	1
8	1	8
1	8	0
8	1	9
1	8	4
8	1	5
1	8	4
1	8	4
1	8	4
1	8	4
1	8	4
1	8	4
1	8	4
1	8	4
10	3	10
12	5	12
10	3	11
12	5	13
10	3	7
12	5	9
10	3	10
10	3	11
10	3	7
14	7	14
14	7	15
14	7	11
3	10	3
3	10	2
3	10	6
1	8	1
1	8	0
1	8	4
12	5	12
12	5	13
12	5	9
1	8	1
1	8	0
1	8	4
14	7	14
14	7	15
14	7	11
7	14	7
7	14	6
7	14	10
7	14	7
7	14	6
7	14	10
14	7	14
14	7	15
14	7	11
7	14	7
7	14	6
7	14	10
1	8	1
10	3	10
1	8	0
10	3	11
1	8	4
10	3	11
10	3	11
10	3	11
10	3	7
3	10	3
14	7	14
3	10	2
14	7	15
3	10	6
14	7	11
14	7	11
14	7	11
5	12	5
14	7	11
5	12	4
5	12	8
7	14	7
7	14	6
7	14	6
12	5	12
7	14	6
7	14	6
12	5	13
7	14	6
3	10	3
12	5	9
7	14	10
3	10	2
3	10	6
3	10	6
3	10	6
3	10	6
3	10	6
3	10	6
3	10	6
3	10	6
5	12	5
3	10	6
3	10	6
5	12	4
3	10	6
3	10	6
5	12	8
1	8	1
1	8	0
1	8	4
7	14	7
7	14	6
7	14	10
1	8	1
3	10	3
1	8	0
3	10	2
1	8	4
3	10	6
3	10	6
3	10	6
1	8	1
1	8	0
1	8	4
5	12	5
5	12	4
5	12	8
7	14	7
8	1	8
7	14	6
8	1	9
12	5	12
8	1	5
7	14	10
12	5	13
12	5	9
12	5	9
12	5	9
Noxim simulation completed.
 ( 11000 cycles executed)
GlobalStats initialised

detailed = [
%  src  dst delay avg delay max     throughput       energy    received    received
%              cycles    cycles    flits/cycle        Joule     packets       flits
     0    0   3.55435        25      0.0737549           -1          92         736
% Aggregated average delay (cycles): 3.55435
% Aggregated average throughput (flits/cycle): 0.0737549
%  src  dst delay avg delay max     throughput       energy    received    received
%              cycles    cycles    flits/cycle        Joule     packets       flits
     8    1   10.2791        28      0.0682136           -1          86         682
% Aggregated average delay (cycles): 10.2791
% Aggregated average throughput (flits/cycle): 0.0682136
%  src  dst delay avg delay max     throughput       energy    received    received
%              cycles    cycles    flits/cycle        Joule     packets       flits
     2    2   3.77011        23      0.0692069           -1          87         692
% Aggregated average delay (cycles): 3.77011
% Aggregated average throughput (flits/cycle): 0.0692069
%  src  dst delay avg delay max     throughput       energy    received    received
%              cycles    cycles    flits/cycle        Joule     packets       flits
    10    3   10.0842        31      0.0769464           -1          95         760
% Aggregated average delay (cycles): 10.0842
% Aggregated average throughput (flits/cycle): 0.0769464
%  src  dst delay avg delay max     throughput       energy    received    received
%              cycles    cycles    flits/cycle        Joule     packets       flits
     4    4   4.35165        27      0.0748586           -1          91         728
% Aggregated average delay (cycles): 4.35165
% Aggregated average throughput (flits/cycle): 0.0748586
%  src  dst delay avg delay max     throughput       energy    received    received
%              cycles    cycles    flits/cycle        Joule     packets       flits
    12    5   9.96429        33      0.0678514           -1          84         672
% Aggregated average delay (cycles): 9.96429
% Aggregated average throughput (flits/cycle): 0.0678514
%  src  dst delay avg delay max     throughput       energy    received    received
%              cycles    cycles    flits/cycle        Joule     packets       flits
     6    6   3.34667        22      0.0607226           -1          75         600
% Aggregated average delay (cycles): 3.34667
% Aggregated average throughput (flits/cycle): 0.0607226
%  src  dst delay avg delay max     throughput       energy    received    received
%              cycles    cycles    flits/cycle        Joule     packets       flits
    14    7    9.3875        23      0.0647053           -1          80         640
% Aggregated average delay (cycles): 9.3875
% Aggregated average throughput (flits/cycle): 0.0647053
%  src  dst delay avg delay max     throughput       energy    received    received
%              cycles    cycles    flits/cycle        Joule     packets       flits
     1    8   10.8817        35      0.0746014           -1          93         744
% Aggregated average delay (cycles): 10.8817
% Aggregated average throughput (flits/cycle): 0.0746014
%  src  dst delay avg delay max     throughput       energy    received    received
%              cycles    cycles    flits/cycle        Joule     packets       flits
     9    9   4.19101        21      0.0716295           -1          89         713
% Aggregated average delay (cycles): 4.19101
% Aggregated average throughput (flits/cycle): 0.0716295
%  src  dst delay avg delay max     throughput       energy    received    received
%              cycles    cycles    flits/cycle        Joule     packets       flits
     3   10   11.0769        38      0.0628577           -1          78         626
% Aggregated average delay (cycles): 11.0769
% Aggregated average throughput (flits/cycle): 0.0628577
%  src  dst delay avg delay max     throughput       energy    received    received
%              cycles    cycles    flits/cycle        Joule     packets       flits
    11   11   2.96667        17      0.0758374           -1          90         720
% Aggregated average delay (cycles): 2.96667
% Aggregated average throughput (flits/cycle): 0.0758374
%  src  dst delay avg delay max     throughput       energy    received    received
%              cycles    cycles    flits/cycle        Joule     packets       flits
     5   12   11.7701        43      0.0696348           -1          87         696
% Aggregated average delay (cycles): 11.7701
% Aggregated average throughput (flits/cycle): 0.0696348
%  src  dst delay avg delay max     throughput       energy    received    received
%              cycles    cycles    flits/cycle        Joule     packets       flits
    13   13   3.31325        15      0.0664133           -1          83         664
% Aggregated average delay (cycles): 3.31325
% Aggregated average throughput (flits/cycle): 0.0664133
%  src  dst delay avg delay max     throughput       energy    received    received
%              cycles    cycles    flits/cycle        Joule     packets       flits
     7   14   12.1789        49      0.0754151           -1          95         754
% Aggregated average delay (cycles): 12.1789
% Aggregated average throughput (flits/cycle): 0.0754151
%  src  dst delay avg delay max     throughput       energy    received    received
%              cycles    cycles    flits/cycle        Joule     packets       flits
    15   15   2.97802        23      0.0741722           -1          91         728
% Aggregated average delay (cycles): 2.97802
% Aggregated average throughput (flits/cycle): 0.0741722
];

max_delay = [
       25    28    23    31
       27    33    22    23
       35    21    38    17
       43    15    49    23
];

routed_flits = [
          856         0       768         0
         1624       755      1604       848
          768      1476       835      1592
            0       723         0       744
];
power_dynamic = [
	0.000000e+00	 % antenna_buffer_front_pwr_d
	0.000000e+00	 % antenna_buffer_pop_pwr_d
	0.000000e+00	 % antenna_buffer_push_pwr_d
	0.000000e+00	 % buffer_from_tile_front_pwr_d
	0.000000e+00	 % buffer_from_tile_pop_pwr_d
	0.000000e+00	 % buffer_from_tile_push_pwr_d
	0.000000e+00	 % buffer_front_pwr_d
	1.679270e-08	 % buffer_pop_pwr_d
	2.397023e-08	 % buffer_push_pwr_d
	0.000000e+00	 % buffer_to_tile_front_pwr_d
	0.000000e+00	 % buffer_to_tile_pop_pwr_d
	0.000000e+00	 % buffer_to_tile_push_pwr_d
	6.949787e-09	 % crossbar_pwr_d
	0.000000e+00	 % link_r2h_pwr_d
	4.910764e-08	 % link_r2r_pwr_d
	1.059895e-08	 % ni_pwr_d
	2.125800e-10	 % routing_pwr_d
	1.771500e-10	 % selection_pwr_d
	0.000000e+00	 % wireless_dynamic_rx_pwr
	0.000000e+00	 % wireless_snooping
	0.000000e+00	 % wireless_tx
];
power_static = [
	0.000000e+00	 % antenna_buffer_pwr_s
	0.000000e+00	 % buffer_from_tile_pwr_s
	1.816000e-06	 % buffer_router_pwr_s
	0.000000e+00	 % buffer_to_tile_pwr_s
	1.198400e-07	 % crossbar_pwr_s
	2.611200e-09	 % link_r2h_pwr_s
	1.382400e-07	 % ni_pwr_s
	1.920000e-08	 % routing_pwr_s
	1.760000e-08	 % selection_pwr_s
	0.000000e+00	 % transceiver_rx_pwr_biasing
	0.000000e+00	 % transceiver_rx_pwr_s
	0.000000e+00	 % transceiver_tx_pwr_biasing
	0.000000e+00	 % transceiver_tx_pwr_s
];
wirxsleep_stats = [
%	Total Sleep Cycles (T), antenna BufferRX sleep cycles (ARX), BufferToTile sleep cycles (TTRX) 
%	HUB	T	ARX	TTRX	
	0	0.00	-nan	-nan
	1	0.00	-nan	-nan
	2	0.00	-nan	-nan
	3	0.00	-nan	-nan
];
% Total received packets: 1396
% Total received flits: 11155
% Global average delay (cycles): 7.14542
% Global average throughput (flits/cycle): 0.0704263
% Throughput (flits/cycle/IP): 0.0774653
% Max delay (cycles): 49
% Total energy (J): 2.2213e-06
% 	Dynamic energy (J): 1.07809e-07
% 	Static energy (J): 2.11349e-06
